cell_line	C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F	C1C2CC3CC1CC(C2)(C3)C4=C(C=CC(=C4)C5=CC6=C(C=C5)C=C(C=C6)C(=O)O)O	C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O	N.N.[Cl-].[Cl-].[Pt+2]
22RV1_PROSTATE	0.2877149287250328	0.2575386134708232	0.873402565680589	0.4871192387143563	0.3504584259772202	0.8387548588195133
2313287_STOMACH	0.1600427652630776	0.1274256158966888	0.889470582299718	0.4877277210700412	0.1681371689046729	0.8962891418398432
253JBV_URINARY_TRACT	0.5804589552713719	0.3102244431591209	0.7581822071328808		0.6300523137496365	
253J_URINARY_TRACT	0.4080275455316828	0.2057114945309184	0.550352870919461		0.5426458369605333	
42MGBA_CENTRAL_NERVOUS_SYSTEM	0.1965046824804598	0.1391658268218785	0.709327011269485	0.5645295824934173	0.5606320529444544	0.7850979531117834
451LU_SKIN	0.4451491522085247		1.0151571537902455		0.6496901444498697	0.7660342642766405
5637_URINARY_TRACT	0.2846436614340941	0.1350869136917212	0.7628730437982179	0.6252647684295902	0.2808562770074727	0.5925613062354809
639V_URINARY_TRACT	0.202689225798695	0.1899758676609304	0.8500330818662775	0.1352547436387648	0.2541998452267893	0.3865613090964035
647V_URINARY_TRACT	0.1236376923215143	0.1330461528204501	0.675985797085354	0.2642981074957511	0.1097423812563645	0.6117674139372449
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0232518631617541	0.0377447988994267	0.282711195719002	0.1420823386707009	0.0405913676858678	0.2870940622130394
786O_KIDNEY	0.2472702157733827	0.4790985878746372	0.865977150530134	0.4208222619256286	0.4021160571099457	0.5367405250760426
8305C_THYROID	0.5303528123530362	0.2987750170951028	0.8502285801064042	0.7683082324993713	0.4943512484003113	0.9032804301287652
8505C_THYROID	0.2645196538892924	0.3240587591463922	0.759213027263459	0.4909708544964232	0.2704150237496	0.8683949017406418
8MGBA_CENTRAL_NERVOUS_SYSTEM	0.1893230806809098	0.3596149356349555	0.688415857121789	0.2597552582821623	0.1876910493123548	0.6277868352086657
